original_file	pop	indiv_count	sample_value	replicate_number	min_allele_freq	est_type	est_ne	95ci_low	95ci_high	overall_rsquared	expected_rsquared	indep_comparisons	harmon_mean_samp_size
100griz.2litter.gp	1	792	1.0	0	0.01	ld	1206605.2	55628.6	Inf	0.00127	0.00127	380704	792.0
100griz.2litter.gp	2	100	1.0	0	0.01	ld	792.2	707.0	899.8	0.01074	0.01032	350912	100.0
100griz.2litter.gp	3	100	1.0	0	0.01	ld	702.5	634.4	786.3	0.01079	0.01032	351749	100.0
100griz.2litter.gp	4	100	1.0	0	0.01	ld	763.2	683.6	862.9	0.01075	0.01032	350079	100.0
100griz.2litter.gp	5	100	1.0	0	0.01	ld	814.1	724.8	927.5	0.01073	0.01032	353423	100.0
100griz.2litter.gp	6	100	1.0	0	0.01	ld	634.1	577.6	702.2	0.01084	0.01032	349247	100.0
100griz.2litter.gp	7	100	1.0	0	0.01	ld	723.8	652.2	812.3	0.01078	0.01032	355935	100.0
100griz.2litter.gp	8	100	1.0	0	0.01	ld	763.3	684.3	862.1	0.01075	0.01032	355936	100.0
100griz.2litter.gp	9	100	1.0	0	0.01	ld	544.7	502.3	594.5	0.01093	0.01032	351743	100.0
100griz.2litter.gp	10	100	1.0	0	0.01	ld	620.8	566.8	685.6	0.01085	0.01032	353420	100.0
100griz.2litter.gp	11	100	1.0	0	0.01	ld	496.4	460.3	538.3	0.01099	0.01032	342623	100.0
100griz.2litter.gp	12	100	1.0	0	0.01	ld	469.9	437.9	506.8	0.01103	0.01032	355095	100.0
100griz.2litter.gp	13	100	1.0	0	0.01	ld	586.5	537.7	644.4	0.01089	0.01032	350914	100.0
100griz.2litter.gp	14	100	1.0	0	0.01	ld	508.0	470.7	551.3	0.01097	0.01032	350908	100.0
100griz.2litter.gp	15	100	1.0	0	0.01	ld	540.6	498.2	590.5	0.01093	0.01032	340981	100.0
100griz.2litter.gp	16	100	1.0	0	0.01	ld	663.8	602.0	739.0	0.01082	0.01032	345921	100.0
100griz.2litter.gp	17	100	1.0	0	0.01	ld	463.3	431.6	499.7	0.01104	0.01032	344276	100.0
100griz.2litter.gp	18	100	1.0	0	0.01	ld	561.0	515.9	614.3	0.01091	0.01032	346757	100.0
100griz.2litter.gp	19	100	1.0	0	0.01	ld	505.7	468.3	549.2	0.01098	0.01032	341795	100.0
100griz.2litter.gp	20	100	1.0	0	0.01	ld	459.3	427.9	495.3	0.01104	0.01032	340155	100.0
100griz.2litter.gp	21	100	1.0	0	0.01	ld	393.1	369.7	419.5	0.01116	0.01032	341801	100.0
100griz.2litter.gp	22	100	1.0	0	0.01	ld	459.4	428.5	494.8	0.01104	0.01032	351747	100.0
100griz.2litter.gp	23	100	1.0	0	0.01	ld	564.2	517.9	619.1	0.01091	0.01032	335239	100.0
100griz.2litter.gp	24	100	1.0	0	0.01	ld	539.9	497.7	589.4	0.01093	0.01032	343443	100.0
100griz.2litter.gp	25	100	1.0	0	0.01	ld	410.5	385.1	439.4	0.01113	0.01032	338515	100.0
100griz.2litter.gp	26	100	1.0	0	0.01	ld	431.6	403.9	463.1	0.01109	0.01032	345103	100.0
100griz.2litter.gp	27	100	1.0	0	0.01	ld	410.3	385.1	438.7	0.01113	0.01032	347578	100.0
100griz.2litter.gp	28	100	1.0	0	0.01	ld	394.9	371.2	421.6	0.01116	0.01032	338519	100.0
100griz.2litter.gp	29	100	1.0	0	0.01	ld	463.9	432.1	500.5	0.01103	0.01032	342620	100.0
100griz.2litter.gp	30	100	1.0	0	0.01	ld	419.6	393.2	449.5	0.01111	0.01032	342627	100.0
100griz.2litter.gp	31	100	1.0	0	0.01	ld	519.8	480.6	565.6	0.01096	0.01032	345100	100.0
100griz.2litter.gp	32	100	1.0	0	0.01	ld	473.4	440.3	511.5	0.01102	0.01032	342618	100.0
100griz.2litter.gp	33	100	1.0	0	0.01	ld	526.5	486.2	573.7	0.01095	0.01032	342624	100.0
100griz.2litter.gp	34	100	1.0	0	0.01	ld	519.9	480.4	566.0	0.01096	0.01032	340152	100.0
100griz.2litter.gp	35	100	1.0	0	0.01	ld	413.7	387.8	443.0	0.01112	0.01032	337699	100.0
100griz.2litter.gp	36	100	1.0	0	0.01	ld	484.3	449.8	524.2	0.011	0.01032	341796	100.0
100griz.2litter.gp	37	100	1.0	0	0.01	ld	508.3	470.7	552.1	0.01097	0.01032	345101	100.0
100griz.2litter.gp	38	100	1.0	0	0.01	ld	534.7	493.1	583.6	0.01094	0.01032	340154	100.0
100griz.2litter.gp	39	100	1.0	0	0.01	ld	509.8	471.8	554.2	0.01097	0.01032	340153	100.0
100griz.2litter.gp	40	100	1.0	0	0.01	ld	469.1	436.5	506.7	0.01103	0.01032	339335	100.0
100griz.2litter.gp	41	100	1.0	0	0.01	ld	443.0	413.6	476.6	0.01107	0.01032	338512	100.0
100griz.2litter.gp	42	100	1.0	0	0.01	ld	506.2	468.2	550.5	0.01097	0.01032	332798	100.0
100griz.2litter.gp	43	100	1.0	0	0.01	ld	450.4	420.2	485.1	0.01106	0.01032	339325	100.0
100griz.2litter.gp	44	100	1.0	0	0.01	ld	424.5	397.1	455.7	0.0111	0.01032	331996	100.0
100griz.2litter.gp	45	100	1.0	0	0.01	ld	499.7	463.0	542.2	0.01098	0.01032	340975	100.0
100griz.2litter.gp	46	100	1.0	0	0.01	ld	520.4	480.9	566.6	0.01096	0.01032	340977	100.0
100griz.2litter.gp	47	100	1.0	0	0.01	ld	584.7	536.0	642.7	0.01089	0.01032	346756	100.0
100griz.2litter.gp	48	100	1.0	0	0.01	ld	509.5	470.9	554.6	0.01097	0.01032	329565	100.0
100griz.2litter.gp	49	100	1.0	0	0.01	ld	498.9	462.1	541.6	0.01098	0.01032	336872	100.0
100griz.2litter.gp	50	100	1.0	0	0.01	ld	392.3	368.8	418.8	0.01116	0.01032	336058	100.0
100griz.2litter.gp	51	100	1.0	0	0.01	ld	506.4	468.6	550.4	0.01097	0.01032	336877	100.0
100griz.2litter.gp	52	100	1.0	0	0.01	ld	442.1	412.8	475.6	0.01107	0.01032	336875	100.0
100griz.2litter.gp	53	100	1.0	0	0.01	ld	429.7	401.9	461.3	0.01109	0.01032	337691	100.0
100griz.2litter.gp	54	100	1.0	0	0.01	ld	452.9	422.1	488.1	0.01105	0.01032	335252	100.0
100griz.2litter.gp	55	100	1.0	0	0.01	ld	415.8	389.6	445.6	0.01112	0.01032	335238	100.0
100griz.2litter.gp	56	100	1.0	0	0.01	ld	422.9	395.8	453.8	0.0111	0.01032	332802	100.0
100griz.2litter.gp	57	100	1.0	0	0.01	ld	489.1	453.3	530.6	0.011	0.01032	328759	100.0
100griz.2litter.gp	58	100	1.0	0	0.01	ld	352.7	333.2	374.5	0.01126	0.01032	326337	100.0
100griz.2litter.gp	59	100	1.0	0	0.01	ld	461.0	429.1	497.7	0.01104	0.01032	331992	100.0
100griz.2litter.gp	60	100	1.0	0	0.01	ld	611.6	557.7	676.5	0.01086	0.01032	333614	100.0
100griz.2litter.gp	61	100	1.0	0	0.01	ld	410.0	384.7	438.6	0.01113	0.01032	341798	100.0
100griz.2litter.gp	62	100	1.0	0	0.01	ld	452.3	421.3	487.8	0.01105	0.01032	327949	100.0
100griz.2litter.gp	63	100	1.0	0	0.01	ld	457.0	425.4	493.3	0.01105	0.01032	327943	100.0
100griz.2litter.gp	64	100	1.0	0	0.01	ld	511.8	472.9	557.4	0.01097	0.01032	329569	100.0
100griz.2litter.gp	65	100	1.0	0	0.01	ld	392.0	368.3	418.7	0.01116	0.01032	328758	100.0
100griz.2litter.gp	66	100	1.0	0	0.01	ld	563.1	516.7	618.2	0.01091	0.01032	331177	100.0
100griz.2litter.gp	67	100	1.0	0	0.01	ld	448.1	417.7	482.8	0.01106	0.01032	331179	100.0
100griz.2litter.gp	68	100	1.0	0	0.01	ld	481.7	446.9	522.1	0.01101	0.01032	327940	100.0
100griz.2litter.gp	69	100	1.0	0	0.01	ld	415.4	388.5	445.9	0.01112	0.01032	318339	100.0
100griz.2litter.gp	70	100	1.0	0	0.01	ld	438.3	409.4	471.3	0.01108	0.01032	336052	100.0
100griz.2litter.gp	71	100	1.0	0	0.01	ld	464.1	431.5	501.8	0.01103	0.01032	325528	100.0
100griz.2litter.gp	72	100	1.0	0	0.01	ld	367.6	346.5	391.3	0.01122	0.01032	325538	100.0
100griz.2litter.gp	73	100	1.0	0	0.01	ld	518.7	479.0	565.3	0.01096	0.01032	331983	100.0
100griz.2litter.gp	74	100	1.0	0	0.01	ld	468.0	435.0	506.0	0.01103	0.01032	329561	100.0
100griz.2litter.gp	75	100	1.0	0	0.01	ld	375.5	353.6	400.2	0.0112	0.01032	327142	100.0
100griz.2litter.gp	76	100	1.0	0	0.01	ld	345.6	326.8	366.6	0.01128	0.01032	326342	100.0
100griz.2litter.gp	77	100	1.0	0	0.01	ld	453.8	422.4	489.9	0.01105	0.01032	323128	100.0
100griz.2litter.gp	78	100	1.0	0	0.01	ld	515.9	476.3	562.2	0.01096	0.01032	328753	100.0
100griz.2litter.gp	79	100	1.0	0	0.01	ld	394.0	370.1	421.1	0.01116	0.01032	328759	100.0
100griz.2litter.gp	80	100	1.0	0	0.01	ld	399.6	374.6	427.9	0.01115	0.01032	317553	100.0
100griz.2litter.gp	81	100	1.0	0	0.01	ld	428.3	400.2	460.2	0.01109	0.01032	327143	100.0
100griz.2litter.gp	82	100	1.0	0	0.01	ld	388.6	365.2	415.1	0.01117	0.01032	326332	100.0
100griz.2litter.gp	83	100	1.0	0	0.01	ld	433.0	404.1	466.1	0.01109	0.01032	319135	100.0
100griz.2litter.gp	84	100	1.0	0	0.01	ld	469.2	435.7	507.8	0.01103	0.01032	322324	100.0
100griz.2litter.gp	85	100	1.0	0	0.01	ld	451.3	420.2	487.1	0.01105	0.01032	321535	100.0
100griz.2litter.gp	86	100	1.0	0	0.01	ld	539.5	495.9	591.1	0.01093	0.01032	318348	100.0
100griz.2litter.gp	87	100	1.0	0	0.01	ld	522.8	481.6	571.3	0.01095	0.01032	317554	100.0
100griz.2litter.gp	88	100	1.0	0	0.01	ld	452.4	420.9	488.6	0.01105	0.01032	318345	100.0
100griz.2litter.gp	89	100	1.0	0	0.01	ld	390.0	365.9	417.2	0.01117	0.01032	312812	100.0
100griz.2litter.gp	90	100	1.0	0	0.01	ld	483.1	447.5	524.6	0.01101	0.01032	315961	100.0
100griz.2litter.gp	91	100	1.0	0	0.01	ld	439.0	409.4	472.9	0.01107	0.01032	320728	100.0
100griz.2litter.gp	92	100	1.0	0	0.01	ld	437.5	408.1	471.2	0.01108	0.01032	320730	100.0
100griz.2litter.gp	93	100	1.0	0	0.01	ld	458.8	426.7	495.8	0.01104	0.01032	321527	100.0
100griz.2litter.gp	94	100	1.0	0	0.01	ld	424.2	396.7	455.6	0.0111	0.01032	326332	100.0
100griz.2litter.gp	95	100	1.0	0	0.01	ld	397.8	373.1	425.8	0.01115	0.01032	319940	100.0
100griz.2litter.gp	96	100	1.0	0	0.01	ld	546.5	501.9	599.3	0.01093	0.01032	319929	100.0
100griz.2litter.gp	97	100	1.0	0	0.01	ld	469.0	435.5	507.7	0.01103	0.01032	321530	100.0
100griz.2litter.gp	98	100	1.0	0	0.01	ld	536.1	493.2	586.7	0.01094	0.01032	322327	100.0
100griz.2litter.gp	99	100	1.0	0	0.01	ld	351.3	331.7	373.3	0.01126	0.01032	317550	100.0
100griz.2litter.gp	100	100	1.0	0	0.01	ld	585.2	534.9	645.5	0.01089	0.01032	323927	100.0
100griz.2litter1.gp	1	100	1.0	1	0.01	ld	792.2	707.0	899.8	0.01074	0.01032	350912	100.0
100griz.2litter1.gp	2	100	1.0	1	0.01	ld	702.5	634.4	786.3	0.01079	0.01032	351749	100.0
100griz.2litter1.gp	3	100	1.0	1	0.01	ld	763.2	683.6	862.9	0.01075	0.01032	350079	100.0
100griz.2litter1.gp	4	100	1.0	1	0.01	ld	814.1	724.8	927.5	0.01073	0.01032	353423	100.0
100griz.2litter1.gp	5	100	1.0	1	0.01	ld	634.1	577.6	702.2	0.01084	0.01032	349247	100.0
100griz.2litter1.gp	6	100	1.0	1	0.01	ld	723.8	652.2	812.3	0.01078	0.01032	355935	100.0
100griz.2litter1.gp	7	100	1.0	1	0.01	ld	763.3	684.3	862.1	0.01075	0.01032	355936	100.0
100griz.2litter1.gp	8	100	1.0	1	0.01	ld	544.7	502.3	594.5	0.01093	0.01032	351743	100.0
100griz.2litter1.gp	9	100	1.0	1	0.01	ld	620.8	566.8	685.6	0.01085	0.01032	353420	100.0
100griz.2litter1.gp	10	100	1.0	1	0.01	ld	496.4	460.3	538.3	0.01099	0.01032	342623	100.0
100griz.2litter1.gp	11	100	1.0	1	0.01	ld	469.9	437.9	506.8	0.01103	0.01032	355095	100.0
100griz.2litter1.gp	12	100	1.0	1	0.01	ld	586.5	537.7	644.4	0.01089	0.01032	350914	100.0
100griz.2litter1.gp	13	100	1.0	1	0.01	ld	508.0	470.7	551.3	0.01097	0.01032	350908	100.0
100griz.2litter1.gp	14	100	1.0	1	0.01	ld	540.6	498.2	590.5	0.01093	0.01032	340981	100.0
100griz.2litter1.gp	15	100	1.0	1	0.01	ld	540.6	498.2	590.5	0.01093	0.01032	340981	100.0
100griz.2litter1.gp	16	100	1.0	1	0.01	ld	663.8	602.0	739.0	0.01082	0.01032	345921	100.0
100griz.2litter1.gp	17	100	1.0	1	0.01	ld	463.3	431.6	499.7	0.01104	0.01032	344276	100.0
100griz.2litter1.gp	18	100	1.0	1	0.01	ld	561.0	515.9	614.3	0.01091	0.01032	346757	100.0
100griz.2litter1.gp	19	100	1.0	1	0.01	ld	505.7	468.3	549.2	0.01098	0.01032	341795	100.0
100griz.2litter1.gp	20	100	1.0	1	0.01	ld	459.3	427.9	495.3	0.01104	0.01032	340155	100.0
100griz.2litter1.gp	21	100	1.0	1	0.01	ld	393.1	369.7	419.5	0.01116	0.01032	341801	100.0
100griz.2litter1.gp	22	100	1.0	1	0.01	ld	459.4	428.5	494.8	0.01104	0.01032	351747	100.0
100griz.2litter1.gp	23	100	1.0	1	0.01	ld	564.2	517.9	619.1	0.01091	0.01032	335239	100.0
100griz.2litter1.gp	24	100	1.0	1	0.01	ld	539.9	497.7	589.4	0.01093	0.01032	343443	100.0
