original_file	pop	indiv_count	sample_value	replicate_number	min_allele_freq	est_type	est_ne	95ci_low	95ci_high	overall_rsquared	expected_rsquared	indep_comparisons	harmon_mean_samp_size
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	1	1000	1.0	0	0.01	ld	274502.7	29911.7	Inf	0.001	0.001	79800	1000.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	2	597	1.0	0	0.01	ld	193.0	189.2	196.8	0.00339	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	3	597	1.0	0	0.01	ld	162.3	159.3	165.2	0.00371	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	4	597	1.0	0	0.01	ld	118.1	116.2	120.0	0.00446	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	5	597	1.0	0	0.01	ld	106.3	104.7	108.0	0.00476	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	6	597	1.0	0	0.01	ld	106.9	105.2	108.6	0.00474	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	7	597	1.0	0	0.01	ld	102.2	100.6	103.8	0.00488	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	8	597	1.0	0	0.01	ld	95.4	94.0	96.9	0.0051	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	9	597	1.0	0	0.01	ld	99.7	98.2	101.2	0.00496	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	10	478	1.0	0	0.01	ld	116.6	114.6	118.7	0.00491	0.00211	79800	478.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	11	380	1.0	0	0.01	ld	92.5	90.9	94.1	0.00618	0.00265	79800	380.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	12	305	1.0	0	0.01	ld	75.1	73.8	76.5	0.00763	0.00331	79800	305.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	13	240	1.0	0	0.01	ld	59.9	58.8	61.0	0.0096	0.00422	79800	240.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	14	197	1.0	0	0.01	ld	54.5	53.5	55.6	0.01104	0.00516	79800	197.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	15	157	1.0	0	0.01	ld	29.9	29.4	30.4	0.01687	0.0065	79800	157.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	16	121	1.0	0	0.01	ld	20.5	20.2	20.9	0.02309	0.00848	79800	121.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	17	99	1.0	0	0.01	ld	25.8	25.3	26.3	0.02231	0.01043	79800	99.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	18	80	1.0	0	0.01	ld	22.1	21.7	22.6	0.02664	0.013	79800	80.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	19	63	1.0	0	0.01	ld	15.9	15.5	16.2	0.03496	0.01668	79800	63.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	20	51	1.0	0	0.01	ld	16.1	15.8	16.6	0.03883	0.02083	79800	51.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	21	43	1.0	0	0.01	ld	9.4	9.1	9.6	0.05266	0.02498	78606	43.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r1.genepop	22	33	1.0	0	0.01	ld	6.5	6.2	6.7	0.0683	0.03323	69006	33.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r2.genepop	1	1000	1.0	0	0.01	ld	135640.7	26883.0	Inf	0.00101	0.001	79800	1000.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r2.genepop	2	597	1.0	0	0.01	ld	223.2	218.5	228.0	0.00316	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r2.genepop	3	597	1.0	0	0.01	ld	185.6	182.1	189.2	0.00346	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r2.genepop	4	597	1.0	0	0.01	ld	97.1	95.7	98.6	0.00504	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r2.genepop	5	597	1.0	0	0.01	ld	99.1	97.6	100.6	0.00498	0.00168	79800	597.0
