original_file	pop	indiv_count	sample_value	replicate_number	min_allele_freq	est_type	est_ne	95ci_low	95ci_high	overall_rsquared	expected_rsquared	indep_comparisons	harmon_mean_samp_size
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	1	530	1.0	0	0.01	ld	103783.6	28099.6	Inf	0.0019	0.0019	373790	530.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	2	538	1.0	0	0.01	ld	2086.0	1972.2	2212.8	0.00203	0.00187	376376	538.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	3	537	1.0	0	0.01	ld	1152.5	1114.5	1192.8	0.00216	0.00187	375513	537.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	4	534	1.0	0	0.01	ld	846.7	824.9	869.6	0.00228	0.00188	373790	534.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	5	531	1.0	0	0.01	ld	662.4	648.3	677.1	0.0024	0.00189	372929	531.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	6	524	1.0	0	0.01	ld	556.3	545.8	567.2	0.00252	0.00192	371212	524.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	7	523	1.0	0	0.01	ld	475.3	467.2	483.6	0.00262	0.00192	370355	523.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	8	527	1.0	0	0.01	ld	427.9	421.2	434.8	0.00268	0.00191	371211	527.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	9	519	1.0	0	0.01	ld	400.2	394.1	406.4	0.00277	0.00194	368643	519.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	10	520	1.0	0	0.01	ld	379.3	373.7	384.9	0.00281	0.00193	367789	520.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	11	516	1.0	0	0.01	ld	347.4	342.6	352.3	0.0029	0.00195	370354	516.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	12	517	1.0	0	0.01	ld	326.6	322.3	331.0	0.00296	0.00195	370353	517.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	13	517	1.0	0	0.01	ld	311.0	307.0	315.1	0.00301	0.00195	369496	517.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	14	515	1.0	0	0.01	ld	293.1	289.4	296.8	0.00308	0.00195	370352	515.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	15	517	1.0	0	0.01	ld	280.1	276.8	283.6	0.00313	0.00195	371209	517.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	16	533	1.0	0	0.01	ld	263.4	260.4	266.5	0.00314	0.00189	369496	533.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	17	519	1.0	0	0.01	ld	258.2	255.2	261.2	0.00322	0.00194	370352	519.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	18	503	1.0	0	0.01	ld	258.8	255.8	261.9	0.00328	0.002	369495	503.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	19	506	1.0	0	0.01	ld	248.4	245.6	251.3	0.00332	0.00199	369495	506.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	20	502	1.0	0	0.01	ld	243.9	241.2	246.7	0.00336	0.002	366082	502.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	21	498	1.0	0	0.01	ld	234.5	231.8	237.1	0.00343	0.00202	366083	498.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	22	502	1.0	0	0.01	ld	230.1	227.6	232.7	0.00344	0.002	366083	502.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	23	500	1.0	0	0.01	ld	227.9	225.4	230.4	0.00346	0.00201	366935	500.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	24	496	1.0	0	0.01	ld	226.6	224.2	229.2	0.00349	0.00203	366934	496.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	25	504	1.0	0	0.01	ld	223.0	220.6	225.4	0.00348	0.002	365232	504.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	26	504	1.0	0	0.01	ld	215.1	212.8	217.5	0.00353	0.002	360990	504.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	27	501	1.0	0	0.01	ld	208.0	205.8	210.2	0.0036	0.00201	359302	501.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	28	506	1.0	0	0.01	ld	201.9	199.9	204.0	0.00362	0.00199	358458	506.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	29	493	1.0	0	0.01	ld	208.3	206.1	210.5	0.00363	0.00204	361837	493.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	30	492	1.0	0	0.01	ld	210.8	208.6	213.1	0.00361	0.00205	362686	492.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	31	483	1.0	0	0.01	ld	202.4	200.3	204.6	0.00371	0.00208	361841	483.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	32	485	1.0	0	0.01	ld	195.2	193.2	197.3	0.00376	0.00208	359303	485.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	33	481	1.0	0	0.01	ld	192.1	190.1	194.1	0.00381	0.00209	355938	481.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	34	491	1.0	0	0.01	ld	192.9	191.0	194.9	0.00376	0.00205	360149	491.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	35	486	1.0	0	0.01	ld	194.3	192.3	196.3	0.00377	0.00207	360149	486.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	36	481	1.0	0	0.01	ld	193.3	191.3	195.3	0.0038	0.00209	357619	481.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	37	492	1.0	0	0.01	ld	190.7	188.8	192.6	0.00377	0.00205	360994	492.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	38	499	1.0	0	0.01	ld	188.4	186.5	190.3	0.00377	0.00202	361840	499.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	39	502	1.0	0	0.01	ld	186.7	184.8	188.6	0.00377	0.002	356777	502.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	40	509	1.0	0	0.01	ld	185.6	183.8	187.5	0.00375	0.00198	353420	509.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	41	507	1.0	0	0.01	ld	185.2	183.4	187.1	0.00376	0.00198	353423	507.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	42	505	1.0	0	0.01	ld	187.2	185.3	189.1	0.00375	0.00199	355099	505.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	43	526	1.0	0	0.01	ld	184.5	182.7	186.3	0.0037	0.00191	354261	526.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	44	523	1.0	0	0.01	ld	183.5	181.7	185.3	0.00372	0.00192	354260	523.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	45	537	1.0	0	0.01	ld	183.0	181.2	184.8	0.00367	0.00187	352585	537.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	46	549	1.0	0	0.01	ld	182.0	180.3	183.7	0.00364	0.00183	352585	549.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	47	552	1.0	0	0.01	ld	182.6	180.9	184.4	0.00363	0.00182	350081	552.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	48	550	1.0	0	0.01	ld	187.9	186.1	189.7	0.00358	0.00183	353421	550.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	49	558	1.0	0	0.01	ld	191.6	189.8	193.5	0.00352	0.0018	353421	558.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	50	559	1.0	0	0.01	ld	190.2	188.4	192.1	0.00353	0.0018	350083	559.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	51	576	1.0	0	0.01	ld	191.5	189.7	193.3	0.00347	0.00175	349250	576.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	52	566	1.0	0	0.01	ld	194.2	192.3	196.1	0.00347	0.00178	350915	566.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	53	554	1.0	0	0.01	ld	188.9	187.1	190.8	0.00356	0.00182	345101	554.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	54	561	1.0	0	0.01	ld	190.9	189.1	192.8	0.00352	0.00179	349249	561.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	55	567	1.0	0	0.01	ld	196.2	194.3	198.1	0.00345	0.00177	347588	567.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	56	570	1.0	0	0.01	ld	195.5	193.6	197.4	0.00345	0.00176	349250	570.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	57	566	1.0	0	0.01	ld	196.3	194.4	198.2	0.00346	0.00178	348418	566.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	58	554	1.0	0	0.01	ld	196.4	194.5	198.4	0.00349	0.00182	342623	554.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	59	543	1.0	0	0.01	ld	199.9	197.8	201.9	0.0035	0.00185	345927	543.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	60	550	1.0	0	0.01	ld	197.6	195.6	199.6	0.0035	0.00183	344273	550.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	61	550	1.0	0	0.01	ld	199.6	197.6	201.6	0.00348	0.00183	345099	550.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	62	549	1.0	0	0.01	ld	197.9	195.9	199.9	0.0035	0.00183	346755	549.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	63	553	1.0	0	0.01	ld	196.2	194.3	198.2	0.0035	0.00182	342621	553.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	64	546	1.0	0	0.01	ld	201.1	199.1	203.1	0.00348	0.00184	347584	546.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	65	556	1.0	0	0.01	ld	203.5	201.4	205.6	0.00343	0.00181	340973	556.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	66	555	1.0	0	0.01	ld	207.8	205.7	209.9	0.0034	0.00181	342621	555.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	67	557	1.0	0	0.01	ld	211.5	209.3	213.7	0.00337	0.00181	340973	557.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	68	556	1.0	0	0.01	ld	211.8	209.6	214.0	0.00337	0.00181	340152	556.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	69	552	1.0	0	0.01	ld	210.1	207.9	212.3	0.00339	0.00182	335246	552.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	70	549	1.0	0	0.01	ld	210.5	208.3	212.7	0.0034	0.00183	340153	549.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	71	534	1.0	0	0.01	ld	212.2	210.0	214.5	0.00344	0.00188	339331	534.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	72	523	1.0	0	0.01	ld	210.1	207.9	212.4	0.00349	0.00192	339332	523.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	73	528	1.0	0	0.01	ld	206.9	204.7	209.1	0.0035	0.00191	336875	528.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	74	527	1.0	0	0.01	ld	206.6	204.4	208.8	0.00351	0.00191	336059	527.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	75	527	1.0	0	0.01	ld	212.7	210.4	215.0	0.00346	0.00191	336058	527.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	76	537	1.0	0	0.01	ld	209.0	206.8	211.2	0.00345	0.00187	337693	537.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	77	545	1.0	0	0.01	ld	205.9	203.8	208.1	0.00345	0.00185	338512	545.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	78	537	1.0	0	0.01	ld	202.1	200.1	204.3	0.00351	0.00187	336057	537.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	79	537	1.0	0	0.01	ld	202.4	200.3	204.5	0.0035	0.00187	338511	537.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	80	540	1.0	0	0.01	ld	197.8	195.8	199.9	0.00353	0.00186	334429	540.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	81	532	1.0	0	0.01	ld	193.3	191.3	195.2	0.0036	0.00189	333616	532.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	82	527	1.0	0	0.01	ld	190.3	188.4	192.2	0.00364	0.00191	333617	527.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	83	533	1.0	0	0.01	ld	191.3	189.4	193.3	0.00361	0.00189	331994	533.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	84	539	1.0	0	0.01	ld	197.5	195.5	199.6	0.00354	0.00187	333618	539.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	85	530	1.0	0	0.01	ld	200.9	198.8	203.0	0.00354	0.0019	331993	530.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	86	531	1.0	0	0.01	ld	199.3	197.2	201.4	0.00355	0.00189	332805	531.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	87	516	1.0	0	0.01	ld	203.8	201.7	206.0	0.00357	0.00195	331184	516.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	88	518	1.0	0	0.01	ld	205.0	202.8	207.2	0.00355	0.00194	331184	518.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	89	515	1.0	0	0.01	ld	203.7	201.6	206.0	0.00357	0.00195	327953	515.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	90	521	1.0	0	0.01	ld	201.0	198.9	203.2	0.00357	0.00193	330374	521.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	91	515	1.0	0	0.01	ld	200.8	198.7	203.0	0.0036	0.00195	329566	515.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	92	519	1.0	0	0.01	ld	198.6	196.5	200.7	0.0036	0.00194	332807	519.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	93	525	1.0	0	0.01	ld	198.2	196.2	200.3	0.00358	0.00192	330376	525.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	94	526	1.0	0	0.01	ld	192.9	190.9	194.9	0.00362	0.00191	329567	526.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	95	529	1.0	0	0.01	ld	191.6	189.7	193.6	0.00362	0.0019	329568	529.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	96	529	1.0	0	0.01	ld	186.6	184.8	188.6	0.00367	0.0019	326344	529.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	97	538	1.0	0	0.01	ld	185.6	183.8	187.5	0.00365	0.00187	327953	538.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	98	545	1.0	0	0.01	ld	185.7	183.9	187.6	0.00362	0.00185	329568	545.0
