original_file	pop	indiv_count	sample_value	replicate_number	min_allele_freq	est_type	est_ne	95ci_low	95ci_high	overall_rsquared	expected_rsquared	indep_comparisons	harmon_mean_samp_size
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	1	530	1.0	0	0.01	ld	1245836.5	37307.8	Inf	0.0019	0.0019	371203	530.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	2	50	1.0	0	0.01	ld	600.1	503.1	741.9	0.02183	0.02128	326337	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	3	50	1.0	0	0.01	ld	560.6	474.5	683.5	0.02187	0.02128	323127	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	4	50	1.0	0	0.01	ld	401.6	354.9	461.9	0.0221	0.02128	323923	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	5	50	1.0	0	0.01	ld	423.0	371.7	490.1	0.02206	0.02128	324726	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	6	50	1.0	0	0.01	ld	596.6	500.4	737.1	0.02183	0.02128	324725	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	7	50	1.0	0	0.01	ld	673.7	554.1	856.9	0.02177	0.02128	326336	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	8	50	1.0	0	0.01	ld	324.9	293.3	363.8	0.0223	0.02128	323926	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	9	50	1.0	0	0.01	ld	476.3	413.5	560.8	0.02197	0.02128	336875	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	10	50	1.0	0	0.01	ld	293.0	266.8	324.5	0.02241	0.02128	321535	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	11	50	1.0	0	0.01	ld	497.7	428.3	593.0	0.02194	0.02128	322317	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	12	50	1.0	0	0.01	ld	279.9	256.2	308.2	0.02246	0.02128	331181	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	13	50	1.0	0	0.01	ld	568.3	479.7	695.7	0.02186	0.02128	319935	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	14	50	1.0	0	0.01	ld	365.8	326.5	415.3	0.02218	0.02128	324735	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	15	50	1.0	0	0.01	ld	398.3	352.4	457.5	0.02211	0.02128	324728	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	16	50	1.0	0	0.01	ld	199.4	186.6	214.0	0.02293	0.02128	323121	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	17	50	1.0	0	0.01	ld	455.8	397.2	533.9	0.022	0.02128	327944	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	18	50	1.0	0	0.01	ld	323.6	292.3	362.1	0.0223	0.02128	324732	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	19	50	1.0	0	0.01	ld	238.4	220.7	259.0	0.02266	0.02128	327141	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	20	50	1.0	0	0.01	ld	332.1	298.2	374.1	0.02227	0.02128	304196	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	21	50	1.0	0	0.01	ld	363.0	324.4	411.6	0.02219	0.02128	326331	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	22	50	1.0	0	0.01	ld	253.9	233.7	277.7	0.02258	0.02128	317554	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	23	50	1.0	0	0.01	ld	299.9	272.4	333.2	0.02238	0.02128	317549	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	24	50	1.0	0	0.01	ld	235.4	217.8	255.8	0.02268	0.02128	315970	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	25	50	1.0	0	0.01	ld	237.7	219.9	258.4	0.02267	0.02128	320726	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	26	50	1.0	0	0.01	ld	308.6	279.6	344.0	0.02235	0.02128	316753	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	27	50	1.0	0	0.01	ld	373.6	332.3	426.1	0.02216	0.02128	316755	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	28	50	1.0	0	0.01	ld	343.2	307.6	387.6	0.02224	0.02128	311232	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	29	50	1.0	0	0.01	ld	431.8	378.3	502.3	0.02204	0.02128	321524	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	30	50	1.0	0	0.01	ld	267.5	245.2	294.0	0.02251	0.02128	315184	50.0
/Users/brit/Desktop/AgeStuctureNe/negui/output/dolphin_8_14_16.r1.genepop	31	50	1.0	0	0.01	ld	323.7	292.3	362.3	0.0223	0.02128	323137	50.0
